file,time_in_seconds,solution_size,recursive_steps,finished,solution_size_verified
random/000002_000000000002.input,0.12s,0,1,1,correct
random/000002_000000000006.input,0.12s,1,5,1,correct
random/000002_000000000012.input,0.12s,2,13,1,correct
random/000002_000000000020.input,0.13s,2,13,1,correct
random/000004_000000000004.input,0.12s,0,1,1,correct
random/000004_000000000012.input,0.12s,4,61,1,correct
random/000004_000000000024.input,0.13s,4,61,1,correct
random/000004_000000000040.input,0.13s,4,61,1,correct
random/000006_000000000007.input,0.12s,1,5,1,correct
random/000006_000000000018.input,0.13s,4,61,1,correct
random/000006_000000000036.input,0.13s,4,61,1,correct
random/000006_000000000060.input,0.16s,5,125,1,correct
random/000008_000000000009.input,0.12s,1,5,1,correct
random/000008_000000000024.input,0.14s,5,125,1,correct
random/000008_000000000048.input,0.23s,7,509,1,correct
random/000008_000000000080.input,0.25s,7,509,1,correct
random/000010_000000000012.input,0.12s,2,13,1,correct
random/000010_000000000030.input,0.21s,8,1021,1,correct
random/000010_000000000060.input,1.07s,10,4093,1,correct
random/000010_000000000100.input,1.51s,10,4093,1,correct
random/000012_000000000014.input,0.12s,1,5,1,correct
random/000012_000000000036.input,0.58s,10,4093,1,correct
random/000012_000000000072.input,2.27s,11,8189,1,correct
random/000012_000000000120.input,3.09s,11,8189,1,correct
random/000014_000000000016.input,0.12s,2,13,1,correct
random/000014_000000000042.input,0.28s,8,1021,1,correct
random/000014_000000000084.input,9.89s,13,32765,1,correct
random/000014_000000000140.input,14.78s,13,32765,1,correct
random/000016_000000000019.input,0.12s,1,5,1,correct
random/000016_000000000048.input,1.38s,11,8189,1,correct
random/000016_000000000096.input,49.59s,15,131069,1,correct
random/000016_000000000160.input,71.04s,15,131069,1,correct
random/000018_000000000021.input,0.13s,2,13,1,correct
random/000018_000000000054.input,1.54s,11,8189,1,correct
random/000018_000000000108.input,57.76s,15,131069,1,correct
random/000018_000000000180.input,232.30s,17,524285,1,correct
random/000020_000000000024.input,1.47s,2,13,1,correct
random/000020_000000000060.input,20.24s,15,131069,1,correct
random/000020_000000000120.input,s,0,,0
random/000020_000000000200.input,s,0,,0
random/000022_000000000026.input,0.12s,3,29,1,correct
random/000022_000000000066.input,25.04s,15,131069,1,correct
random/000022_000000000132.input,s,0,,0
random/000022_000000000220.input,s,0,,0
random/000024_000000000028.input,0.12s,0,,1,>>INCORRECT<<
random/000024_000000000072.input,4.32s,12,16381,1,correct
random/000024_000000000144.input,s,0,,0
random/000024_000000000240.input,s,0,,0
random/000026_000000000031.input,0.13s,0,,1,>>INCORRECT<<
random/000026_000000000078.input,s,0,,0
random/000026_000000000156.input,s,0,,0
random/000026_000000000260.input,s,0,,0
random/000028_000000000033.input,0.13s,4,68,1,correct
random/000028_000000000084.input,s,0,,0
random/000028_000000000168.input,s,0,,0
